Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%)
"Afalfa,fresh",24,0.51,8.88,14,20,3.5
"Alfalfa hay,s-c,early bloom",90,1.82,8.45,51,18,12.7
"Alfalfa hay,s-c,late vegetative",90,1.88,8.73,52,19.89,14.3
"Alfalfa hay,s-c,midbloom",90,1.82,8.45,51,17,11.6
Alfalfa silage,41,0.88,8.97,24,18.05,5.4
"Alfalfa silage,<30% dry matter",26,0.6,9.65,17,18.85,3.3
"Alfalfa silage,>50% dry matter",57,1.17,8.58,32,17.19,6.7
"Alfalfa silage,30-50% dry matter",43,0.91,8.85,25,18.14,5.5
"Alfalfa,hay,s-c,full bloom",90,1.72,7.99,47,15,9.4
"Alfalfa,hay,s-c,mature",91,1.78,8.18,49,12.86,7.7
"Alfalfa,meal,dehydrated,15% protein",90,1.86,8.64,52,17.33,10.9
"Alfalfa,meal,dehydrated,17% protein",92,1.99,9.04,55,18.8,11.6
Barley grain,88,2.74,13.02,76,13.52,9.8
"Barley grain,Pacific coast",89,2.84,13.34,79,10.79,6.3
"Barley hay,sun-cured",87,1.77,8.5,49,8.74,4.1
Barley straw,91,1.58,7.26,43,4.4,0.7
"Bean,Navy,seeds",89,2.82,13.24,78,25.39,19.9
"Beet,Mangel,roots,fresh",11,0.32,12.16,9,11.82,0.9
"Beet,Sugar,pulp with molasses,dehydrated",92,2.55,11.59,71,10.11,6.1
"Beet,Sugar,pulp,dehydrated",91,2.43,11.16,67,9.67,4.5
"Beet,Sugar,pulp,wet",11,0.3,11.4,8,10.91,0.7
"Bermudagrass, hay,s-c,full bloom",92,1.73,7.86,48,8.15,3.5
"Bermudagrass, hay,s-c,midbloom",93,1.81,8.14,50,9.46,4.7
"Bermudagrass, hay,sun-cured",91,1.62,7.44,45,9.78,4.6
"Bermudagrass,Coastal,hay,s-c,",90,1.77,8.22,49,6,3.4
"Bermudagrass,Coastal,hay,s-c,early bloom",93,1.78,8,49,0,0
"Bermudagrass,Coastal,hay,s-c,early vegetative",94,2.04,9.07,57,15.96,10.3
"Bermudagrass,Coastal,hay,s-c,full bloom",94,1.77,7.87,49,0,0
"Bermudagrass,Coastal,hay,s-c,late vegetative",91,1.78,8.18,50,16.48,10.3
Blood meal,92,2.22,10.09,61,86.74,65
"Bluegrass,Canada,fresh,early vegetative",26,0.62,9.97,17,18.85,3.7
"Bluegrass,Canada,hay,sun-cured",92,2,9.09,55,10.43,4.1
"Bluegrass,Canada,hay,sun-cured,early vegetative",91,1.97,9.05,54,17.25,11
