Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%),CountryId,LanguageId
Aeschynomene abyssinica,94.27,2.11,8.83,58.29,23.70,14.10,1,1
Alysicarpus glumaceus,89.86,2.07,8.67,57.23,18.88,11.83,1,1
Alysicarpus rugosus,89.82,2.05,8.58,56.64,19.60,12.16,1,1
Andropogon amethystinus,92.06,1.80,7.55,49.84,6.71,3.37,1,1
Wild oats grain,90.27,1.94,8.12,53.60,9.62,5.30,1,1
fodder beet,90.14,2.50,10.45,68.98,18.79,12.13,1,1
Brachiaria hay,92.30,1.81,7.57,49.97,10.22,5.20,1,1
Cenchrus geniculatus,92.39,1.86,7.78,51.36,5.12,2.59,1,1
Napier grass leaf,91.42,2.11,8.83,58.29,10.91,6.30,1,1
Napier grass stem,90.90,2.18,9.13,60.27,7.06,4.32,1,1
Cenchrus sphacelatus,92.71,1.69,7.07,46.67,4.82,2.21,1,1
Cenchrus stramineus,93.55,2.25,9.43,62.25,7.96,4.87,1,1
Buffel grass,91.45,1.60,6.70,44.23,10.70,6.02,1,1
Cerastium octandrum,92.08,1.99,8.31,54.86,8.26,4.55,1,1
Tagasaste (tree lucerne),90.03,1.93,8.09,53.39,11.14,6.27,1,1
Rhodes grass hay,90.08,1.88,7.86,51.89,14.12,8.07,1,1
Chrysopogon aucheri,92.94,1.99,8.31,54.86,5.30,3.05,1,1
Guria grass,91.79,2.26,9.46,62.45,7.09,4.61,1,1
Crotalaria lachnocarpoides,89.52,2.24,9.39,61.99,24.38,16.47,1,1
Crotalaria pallida,88.39,1.93,8.06,53.21,16.27,9.54,1,1
Crotalaria plowdenii,87.92,1.81,7.58,50.04,16.61,9.28,1,1
Crotalaria pycnostachya,89.35,1.99,8.34,55.05,18.22,11.03,1,1
Crotalaria spinosa,88.67,2.02,8.45,55.78,16.45,9.69,1,1
Cyanotis barbata,89.36,2.28,9.53,62.91,13.69,8.80,1,1
Cynodon aethiopicus,91.31,2.73,11.42,75.39,9.85,7.56,1,1
Cynodon dactylon,91.54,1.89,7.92,52.28,11.01,5.89,1,1
Sedge,92.03,1.92,8.05,53.14,9.54,5.35,1,1
Cyperus papyrus,92.50,2.80,11.72,77.37,14.62,11.52,1,1
Cyperus rigidifolius,92.10,2.39,10.00,66.01,12.43,8.61,1,1
