Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%),CountryId,LanguageId
Green Forage: Oats,21.8,2.2,9.3,,9.8,6.5,2,1
Green Forage: Oats Stem Elongation,28.6,2.5,10.3,,9.5,6.2,2,1
Green Forage: Oats Early Heading,19.1,2.4,10.2,,8.3,5.2,2,1
Green Forage: Oats Heading,20.4,2.4,10.1,,7.2,4.2,2,1
Green Forage: Bersim,16.5,2.3,9.7,,19.5,14.7,2,1
Green Forage: Bersim 1st Cut,14,2.6,10.7,,19.3,14.7,2,1
Green Forage: Bersim 2nd Cut,18.5,2.3,9.8,,21.7,16.8,2,1
Green Forage: Bersim 3rd And 4th Cut,15,2.3,9.6,,19.1,14.3,2,1
Green Forage: Durum Wheat,38,2.3,9.5,,15.4,11.8,2,1
Green Forage: Durum Wheat Stem Elongation,16.1,2.2,9.4,,18.9,13.7,2,1
Green Forage: Durum Wheat Milky Stage,31.2,2.3,9.7,,9,5.7,2,1
Green Forage: Soft Wheat,56.3,2.3,9.8,,10.9,7.5,2,1
Green Forage: Soft Wheat Stem Elongation,17.2,2.3,9.6,,15,12.5,2,1
Green Forage: Soft Wheat Flowering,24.7,2.3,9.6,,12.3,8.8,2,1
Green Forage: Soft Wheat Milky Stage,40.1,2.3,9.7,,8.2,5,2,1
Green Forage: Fescue,25.7,2.1,8.6,,15.2,10.8,2,1
Green Forage: Fescue 2nd Cut,16.9,2.2,9.2,,10.6,6.4,2,1
Green Forage: Fava Bean,20.3,2.5,10.3,,20.6,16.9,2,1
Green Forage: Field Bean,12.7,2.5,10.3,,18.3,14.6,2,1
Green Forage: Alfalfa Early Bud,25.8,2.4,10.2,,21.7,17.1,2,1
Green Forage: Alfalfa Bud,14,2.4,10.1,,19.5,15,2,1
Green Forage: Alfalfa Flowering,18.5,2.3,9.7,,13.5,10.4,2,1
Green Forage: Corn,26.3,2.3,9.7,,7.5,3.8,2,1
Green Forage: Medicago,27,2.5,10.3,,19.3,14.8,2,1
Green Forage: Medicago Hispida,28.6,2.5,10.6,,22.2,17.5,2,1
Green Forage: Medicago Orbicularis,30,2.7,11.1,,24,19.2,2,1
Green Forage: Medicago Trunculata,19.1,2.5,10.5,,22.1,17.4,2,1
Green Forage: Barley,21.1,2.3,9.6,,12.3,8.7,2,1
Green Forage: Barley Tillering,18.4,2.7,11.4,,16.5,12.5,2,1
Green Forage: Barley Stem Elongation,20.2,2.4,10.2,,10.4,7,2,1
