Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%),CountryId,LanguageId
Fourrage vert: AVOINE,21.8,2.2,9.3,,9.8,6.5,2,2
Fourrage vert: AVOINE montaison,28.6,2.5,10.3,,9.5,6.2,2,2
Fourrage vert: AVOINE début épiaison,19.1,2.4,10.2,,8.3,5.2,2,2
Fourrage vert: AVOINE épiaison,20.4,2.4,10.1,,7.2,4.2,2,2
Fourrage vert: BERSIM,16.5,2.3,9.7,,19.5,14.7,2,2
Fourrage vert: BERSIM  1ère coupe,14,2.6,10.7,,19.3,14.7,2,2
Fourrage vert: BERSIM  2ème coupe,18.5,2.3,9.8,,21.7,16.8,2,2
Fourrage vert: BERSIM  3ème et 4ème coupe,15,2.3,9.6,,19.1,14.3,2,2
Fourrage vert: BLE DUR,38,2.3,9.5,,15.4,11.8,2,2
Fourrage vert: BLE DUR  montaison,16.1,2.2,9.4,,18.9,13.7,2,2
Fourrage vert: BLE DUR  laiteux,31.2,2.3,9.7,,9,5.7,2,2
Fourrage vert: BLE TENDRE,56.3,2.3,9.8,,10.9,7.5,2,2
Fourrage vert: BLE TENDRE montaison,17.2,2.3,9.6,,15,12.5,2,2
Fourrage vert: BLE TENDRE floraison,24.7,2.3,9.6,,12.3,8.8,2,2
Fourrage vert: BLE TENDRE laiteux,40.1,2.3,9.7,,8.2,5,2,2
Fourrage vert: FETUQUE,25.7,2.1,8.6,,15.2,10.8,2,2
Fourrage vert: FETUQUE 2ème coupe,16.9,2.2,9.2,,10.6,6.4,2,2
Fourrage vert: FEVE,20.3,2.5,10.3,,20.6,16.9,2,2
Fourrage vert: FEVEROLE,12.7,2.5,10.3,,18.3,14.6,2,2
Fourrage vert: LUZERNE début bourgeonnement,25.8,2.4,10.2,,21.7,17.1,2,2
Fourrage vert: LUZERNE bourgeonnement,14,2.4,10.1,,19.5,15,2,2
Fourrage vert: LUZERNE floraison,18.5,2.3,9.7,,13.5,10.4,2,2
Fourrage vert: MAIS,26.3,2.3,9.7,,7.5,3.8,2,2
Fourrage vert: MEDICAGO,27,2.5,10.3,,19.3,14.8,2,2
Fourrage vert: MEDICAGO hispida,28.6,2.5,10.6,,22.2,17.5,2,2
Fourrage vert: MEDICAGO orbicularis,30,2.7,11.1,,24,19.2,2,2
Fourrage vert: MEDICAGO trunculata,19.1,2.5,10.5,,22.1,17.4,2,2
Fourrage vert: ORGE,21.1,2.3,9.6,,12.3,8.7,2,2
Fourrage vert: ORGE tallage,18.4,2.7,11.4,,16.5,12.5,2,2
Fourrage vert: ORGE montaison,20.2,2.4,10.2,,10.4,7,2,2
Fourrage vert: ORGE-BERSIM,16.7,2.3,9.6,,15.1,10.7,2,2
Fourrage vert: ORGE-POIS,15.3,2.2,9.2,,22.5,17.6,2,2
Fourrage vert: ORGE-SULLA,14.9,2.3,9.7,,11.8,7.6,2,2
Fourrage vert: ORGE-VESCE,19,2.2,9.3,,14.4,10,2,2
Fourrage vert: ORYZOPSIS miliacea,26,2.3,9.8,,13.5,9.1,2,2
Fourrage vert: RAY-GRAS,18.6,2.5,10.3,,15.4,10.8,2,2
Fourrage vert: SEIGLE,36.4,2.4,10.1,,10.6,6.9,2,2
Fourrage vert: SEIGLE-VESCE,20.8,2.4,10.1,,9.2,3.9,2,2
Fourrage vert: SORGHO,50.8,2.3,9.5,,7.9,4.5,2,2
Fourrage vert: SULLA,14.2,2.1,8.9,,16.6,12,2,2
Fourrage vert: SULLA 1ère coupe,8.9,2.5,10.3,,13.1,9,2,2
Fourrage vert: SULLA 2ème coupe,6.6,2.1,8.8,,17.4,12.7,2,2
Fourrage vert: SULLA feuilles,15,2.7,11.2,,19.8,15,2,2
Fourrage vert: SULLA tiges,11.8,1.3,5.4,,6.6,2.6,2,2
Fourrage vert: TREFLE,14.5,2.7,11.2,,22.6,17.6,2,2
Fourrage vert: TREFLE-RAY-GRAS,15.8,2.4,10.1,,19.7,14.8,2,2
Fourrage vert: TRITICALE,20.4,1.9,7.8,,14.4,10.9,2,2
Fourrage vert: VESCE,19.8,2.2,9.2,,21.8,17.5,2,2
Fourrage vert: VESCE-AVOINE,21.2,1.9,7.8,,11.5,7.8,2,2
Fourrage vert: VESCE-AVOINE 2ème coupe,16.4,1.8,7.6,,15.5,10.5,2,2
Fourrage vert: VESCE-AVOINE 3ème coupe,18.1,1.8,7.5,,10.9,7.4,2,2
Ensilage: AVOINE,26.4,2.1,8.9,,8.2,5,2,2
Ensilage: BETRAVE feuilles,18,2.1,8.9,,12.1,7.8,2,2
Ensilage: FETUQUE,23.7,2.1,8.6,,9,4.8,2,2
Ensilage: FETUQUE - TREFLE,21.2,2.3,9.6,,10.3,5.9,2,2
Ensilage: FEVEROLE,14.6,2.5,10.4,,17.5,11.9,2,2
Ensilage: MAIS,27.2,2.4,10.2,,8.4,4.5,2,2
Ensilage: ORGE,23.7,2.1,8.9,,10.1,6.8,2,2
Ensilage: ORGE  montaison,22.7,2.4,10,,9.8,6.5,2,2
Ensilage: ORGE  laiteux,23,2.1,8.9,,8.7,5.4,2,2
Ensilage: ORGE  pateux,29.5,2.1,8.7,,6.4,3.4,2,2
Ensilage: ORGE-30 - AVOINE-70,31.2,2.1,8.8,,8.1,5,2,2
Ensilage: ORGE-50 - AVOINE-50,26.4,2.1,8.9,,7.5,4.4,2,2
Ensilage: ORGE - BERSIM,29.4,2.1,8.9,,14.1,9.1,2,2
Ensilage: ORGE - POIS,22,2.2,9.2,,11.5,6.9,2,2
Ensilage: ORGE-40 - POIS-60,23,2.3,9.5,,12.8,7.9,2,2
Ensilage: ORGE-50 - POIS-50,21.9,2.3,9.5,,13.4,8.4,2,2
Ensilage: ORGE-60 - POIS-40,22,2.2,9.4,,11.7,7.1,2,2
Ensilage: ORGE-70 - POIS-30,27,2.3,9.6,,11.1,6.5,2,2
Ensilage: ORGE-80 - POIS-20,30.7,2.3,9.4,,10.8,6.3,2,2
Ensilage: ORGE - SULLA,18.2,2.2,9,,11.8,7.2,2,2
Ensilage: ORGE - VESCE,23.9,2.1,8.6,,11.3,6.7,2,2
Ensilage: ORGE-50 - VESCE-50,24.2,2,8.6,,12.4,7.7,2,2
Ensilage: ORGE-60 - VESCE-40,27,2.1,8.6,,10.9,6.4,2,2
Ensilage: ORGE-70 - VESCE-30,26.3,2.1,8.7,,10.9,6.4,2,2
Ensilage: ORGE-80 - VESCE-20,29.7,2.1,8.6,,9.8,5.5,2,2
Ensilage: SORGHO,23.9,2.3,9.5,,6.6,3.4,2,2
Ensilage: SULLA,21.2,2.1,8.9,,12.2,7.5,2,2
Ensilage: TOURNESOL - MAIS,21.9,2.2,9.1,,5.1,1.6,2,2
Ensilage: VESCE - AVOINE,26,2,8.5,,10.5,6.3,2,2
Ensilage: VESCE-30 - AVOINE-70,26.5,2.1,8.8,,10.5,6.2,2,2
Ensilage: VESCE-40 - AVOINE-60,23.9,2,8.5,,9.9,5.7,2,2
Ensilage: VESCE-50 - AVOINE-50,26,2.1,8.7,,11.7,7.4,2,2
Foin: AVOINE,86.8,2.1,8.9,,6.1,2.1,2,2
Foin: BERSIM,89.7,2.1,8.6,,18.1,12.5,2,2
Foin: FETUQUE,82.4,2.1,8.9,,6.3,4,2,2
Foin: LUZERNE,83.5,2,8.2,,14.7,9.9,2,2
Foin: ORGE,78,2.1,8.7,,9.7,5,2,2
Foin: RAY GRAS,86.4,2.1,8.8,,10.3,5.6,2,2
Foin: SORGHO,83,2,8.2,,8.4,4.1,2,2
Foin: VESCE - AVOINE,85.6,2.1,8.8,,7.8,3.5,2,2
Concentrés: AVOINE,91.9,2.9,12.1,,10.6,7.6,2,2
Concentrés: BLE DUR,90.1,3.2,13.3,,14.2,10.8,2,2
Concentrés: BLE TENDRE,90.2,3.2,13.5,,12.6,10.7,2,2
Concentrés: BLE petit blé,90,3.2,13.2,,15.6,12.1,2,2
Concentrés: CAROUBE,89,2.9,12,,9.2,6.3,2,2
Concentrés: FENUGREC,90.6,3.1,12.9,,26.3,21.9,2,2
Concentrés: FEVE,89.6,2.9,12.1,,25.6,21.3,2,2
Concentrés: FEVEROLE,90.7,2.9,12,,27.3,22.8,2,2
Concentrés: LENTILLE,89.9,3.1,12.9,,27,22.5,2,2
Concentrés: MAIS,89.5,3.2,13.3,,10,7,2,2
Concentrés: ORGE,89,3,12.5,,12.2,9,2,2
Concentrés: POIS,89.7,2.9,12.3,,25.7,21.3,2,2
Concentrés: POIS-CHICHE,90.1,3.3,13.9,,21.5,17.5,2,2
Concentrés: SORGHO,88.6,3.4,14.1,,13.7,10.4,2,2
Concentrés: TRITICALE,90,3.2,13.3,,12.5,9.2,2,2
